_id,APPLICATION_,STATUS,X,Y,WARD_NAME,Watercourse_Viol,Wetland_Viol,Overall_Status,Violation_Type
4,19 243760 NNY 18 SA,Under Review ,311286.700000000011642,4850023.054999999701977,Willowdale,NO,NO,PASS,None
20,26 185667 STE 12 SA,Under Review ,313320.629000000015367,4838537.923000000417233,Toronto-St. Paul's,NO,NO,PASS,None
24,21 230437 ESC 24 CD,Under Review ,329257.305999999982305,4847139.553000000305474,Scarborough-Guildwood,NO,NO,PASS,None
25,21 232282 STE 10 CD,Under Review ,313752.896999999997206,4833899.730000000447035,Spadina-Fort York,NO,NO,PASS,None
40,18 246307 NNY 24 SA,Under Review ,313280.844999999972060,4850261.684000000357628,Willowdale,NO,NO,PASS,None
50,22 124213 STE 13 SA,Under Review ,315050.599999999976717,4835100.502999999560416,Toronto Centre,NO,NO,PASS,None
65,19 155807 STE 12 SA,Under Review ,313351.172000000020489,4838430.008000000379980,Toronto-St. Paul's,NO,NO,PASS,None
66,19 264619 WET 01 OZ,Under Review ,297838.157000000006519,4845410.117999999783933,Etobicoke North,NO,NO,PASS,None
70,22 162241 STE 11 SA,Under Review ,313927.771000000007916,4834819.486999999731779,University-Rosedale,NO,NO,PASS,None
82,17 112623 NNY 15 SB,Under Review ,309394.831999999994878,4842439.116000000387430,Eglinton-Lawrence,NO,NO,PASS,None
83,17 112623 NNY 15 SB,Under Review ,309308.059000000008382,4842347.905000000260770,Eglinton-Lawrence,NO,NO,PASS,None
84,17 112623 NNY 15 SB,Under Review ,309218.575000000011642,4842375.972000000067055,Eglinton-Lawrence,NO,NO,PASS,None
85,17 112623 NNY 15 SB,Under Review ,309578.592999999993481,4842479.791000000201166,Eglinton-Lawrence,NO,NO,PASS,None
112,18 171352 NNY 23 SA,Under Review ,311523.239000000001397,4848165.019000000320375,Willowdale,NO,NO,PASS,None
121,25 233767 STE 13 CD,Under Review ,314535.907999999995809,4834902.792000000365078,Toronto Centre,NO,NO,PASS,None
122,25 257536 NNY 18 OZ,Under Review ,311316.407000000006519,4848620.697999999858439,Willowdale,NO,NO,PASS,None
129,21 235323 STE 13 CD,Under Review ,315590.360999999975320,4834674.944000000134110,Toronto Centre,NO,NO,PASS,None
130,21 231690 NNY 18 CD,Under Review ,311286.700000000011642,4850023.054999999701977,Willowdale,NO,NO,PASS,None
141,20 126608 WET 02 SA,Under Review ,300570.787000000011176,4837030.559000000357628,Etobicoke Centre,NO,NO,PASS,None
164,21 232674 WET 05 SA,Under Review ,305664.538999999989755,4838437.018000000156462,York South-Weston,NO,NO,PASS,None
165,21 232674 WET 05 SA,Under Review ,305667.892999999981839,4838443.474000000394881,York South-Weston,NO,NO,PASS,None
167,21 251322 NNY 18 SA,Under Review ,312256.987000000022817,4846399.958999999798834,Willowdale,NO,NO,PASS,None
171,21 237238 NNY 15 SA,Under Review ,314484.173999999999069,4841001.097000000067055,Don Valley West,NO,NO,PASS,None
172,22 140154 NNY 17 SA,Under Review ,318762.889000000024680,4847997.622000000439584,Don Valley North,NO,NO,PASS,None
174,25 189579 ESC 21 OZ,Application Received,320837.299999999988358,4847511.969999999739230,Scarborough Centre,NO,NO,PASS,None
175,25 236994 NNY 15 SA,Under Review ,314278.190999999991618,4844259.644000000320375,Don Valley West,NO,NO,PASS,None
176,25 206513 NNY 08 OZ,Under Review ,309145.206000000005588,4841247.809000000357628,Eglinton-Lawrence,NO,NO,PASS,None
178,21 226321 STE 13 SB,Under Review ,315557.471000000019558,4834452.464999999850988,Toronto Centre,NO,NO,PASS,None
181,23 172335 ESC 21 OZ,Under Review,320998.093999999982771,4842848.979000000283122,Scarborough Centre,NO,NO,PASS,None
195,21 230126 STE 13 CD,Under Review ,315284.496999999973923,4834147.868999999947846,Toronto Centre,NO,NO,PASS,None
254,24 235912 NNY 08 SB,Under Review ,307714.125999999989290,4839429.900000000372529,Eglinton-Lawrence,NO,NO,PASS,None
286,25 222153 WET 05 OZ,Under Review ,305984.316999999980908,4838173.309000000357628,York South-Weston,NO,NO,PASS,None
307,19 243760 NNY 18 SA,Under Review ,311241.423000000009779,4850069.300999999977648,Willowdale,NO,NO,PASS,None
313,25 141826 NNY 08 OZ,Under Review ,309570.114999999990687,4840468.581000000238419,Eglinton-Lawrence,NO,NO,PASS,None
314,25 243191 WET 02 SA,Under Review ,299616.625000000000000,4832559.595999999903142,Etobicoke Centre,NO,NO,PASS,None
332,25 259679 STE 13 OZ,Under Review ,314835.261999999987893,4834331.713000000454485,Toronto Centre,NO,NO,PASS,None
335,22 242949 WET 05 SA,Under Review ,303525.951000000000931,4839795.688000000081956,York South-Weston,NO,NO,PASS,None
348,25 257615 WET 07 SA,Under Review,302674.195999999996275,4842322.268000000156462,Humber River-Black Creek,NO,NO,PASS,None
356,25 151165 NNY 15 OZ,Under Review ,313952.477000000013504,4846029.502000000327826,Don Valley West,NO,NO,PASS,None
368,22 139108 WET 05 SA,Under Review ,305707.761999999987893,4840426.275999999605119,York South-Weston,NO,NO,PASS,None
369,22 192722 NNY 08 SB,Under Review ,308371.966000000014901,4841495.865000000223517,Eglinton-Lawrence,NO,NO,PASS,None
370,22 241465 ESC 21 OZ,Under Review ,324263.493000000016764,4848286.541000000201166,Scarborough Centre,NO,NO,PASS,None
374,25 187962 STE 13 SA,Under Review ,315190.445999999996275,4835486.233000000007451,Toronto Centre,NO,NO,PASS,None
376,25 121712 STE 12 SA,Under Review ,313165.170999999972992,4838947.849000000394881,Toronto-St. Paul's,NO,NO,PASS,None
380,21 227802 STE 12 SB,Under Review ,313462.090000000025611,4838370.842000000178814,Toronto-St. Paul's,NO,NO,PASS,None
382,21 205938 STE 09 SA,Under Review ,309245.469999999972060,4835089.279000000096858,Davenport,NO,NO,PASS,None
403,21 239771 STE 10 SA,Under Review ,312430.208999999973457,4833265.070000000298023,Spadina-Fort York,NO,NO,PASS,None
409,21 213763 WET 03 SA,Under Review ,300632.706999999994878,4832131.259999999776483,Etobicoke-Lakeshore,NO,NO,PASS,None
410,10 320052 NNY 34 SA,Under Review ,320238.272999999986496,4842424.202999999746680,Don Valley East,NO,NO,PASS,None
424,21 242694 NNY 08 CD,Under Review ,309338.614000000001397,4840624.800999999977648,Eglinton-Lawrence,NO,NO,PASS,None
442,24 243649 STE 10 SA,Under Review ,313449.666000000026543,4834007.811999999918044,Spadina-Fort York,NO,NO,PASS,None
458,20 209468 NNY 18 SA,Under Review ,311642.098999999987427,4849228.480999999679625,Willowdale,NO,NO,PASS,None
463,21 235904 STE 13 SB,Under Review ,314360.590000000025611,4835988.854000000283122,Toronto Centre,NO,NO,PASS,None
466,22 170530 NNY 08 SA,Under Review ,312835.809000000008382,4840848.768000000156462,Eglinton-Lawrence,NO,NO,PASS,None
468,25 140807 STE 13 SA,Under Review ,314640.275000000023283,4834028.578999999910593,Toronto Centre,NO,NO,PASS,None
469,26 161475 STE 14 SB,Under Review ,316960.943000000028405,4834087.480999999679625,Toronto-Danforth,NO,NO,PASS,None
470,25 251663 NNY 08 SB,Under Review ,309350.164999999979045,4841899.793999999761581,Eglinton-Lawrence,NO,NO,PASS,None
480,24 173799 WET 03 SA,Under Review ,304043.196999999985565,4829012.019999999552965,Etobicoke-Lakeshore,NO,NO,PASS,None
481,26 151476 ESC 20 OZ,Under Review ,323328.759000000020023,4843313.888000000268221,Scarborough Southwest,NO,NO,PASS,None
487,22 241863 STE 13 SA,Under Review ,314015.657999999995809,4836095.834999999962747,Toronto Centre,NO,NO,PASS,None
491,23 138247 STE 10 SA,Under Review ,312667.374000000010710,4833542.405000000260770,Spadina-Fort York,NO,NO,PASS,None
493,25 102470 STE 13 SA,Under Review ,314474.744999999995343,4834763.167000000365078,Toronto Centre,NO,NO,PASS,None
496,11 120956 NNY 34 SB,Under Review ,320238.272999999986496,4842424.202999999746680,Don Valley East,NO,NO,PASS,None
532,20 225403 NNY 17 PL,Under Review ,318762.889000000024680,4847997.622000000439584,Don Valley North,NO,NO,PASS,None
535,23 128433 ESC 21 OZ,Under Review ,320837.299999999988358,4847511.969999999739230,Scarborough Centre,NO,NO,PASS,None
550,25 239940 STE 13 OZ,Under Review ,314939.753000000026077,4835315.589999999850988,Toronto Centre,NO,NO,PASS,None
564,20 215681 ESC 22 OZ,Under Review ,319738.483999999996740,4848352.259999999776483,Scarborough-Agincourt,NO,NO,PASS,None
570,22 137869 STE 12 SA,Under Review ,313515.588999999978114,4837743.376000000163913,Toronto-St. Paul's,NO,NO,PASS,None
588,24 218595 NNY 18 SA,Under Review ,311523.239000000001397,4848165.019000000320375,Willowdale,NO,NO,PASS,None
621,22 150557 ESC 22 SA,Under Review ,321495.760999999998603,4851196.207999999634922,Scarborough-Agincourt,NO,NO,PASS,None
625,25 191649 STE 12 SA,Under Review ,312925.357000000018161,4840197.968000000342727,Toronto-St. Paul's,NO,NO,PASS,None
627,21 176811 WET 05 SA,Under Review ,307532.326999999990221,4836662.610999999567866,York South-Weston,NO,NO,PASS,None
628,21 176811 WET 05 SA,Under Review ,307524.896999999997206,4836664.718000000342727,York South-Weston,NO,NO,PASS,None
632,20 219677 STE 09 SA,Under Review ,308369.422000000020489,4836470.547000000253320,Davenport,NO,NO,PASS,None
636,21 220581 NNY 17 SB,Under Review ,319110.558000000019092,4847722.521999999880791,Don Valley North,NO,NO,PASS,None
645,21 234412 STE 10 CD,Under Review ,313302.467000000004191,4833710.711000000126660,Spadina-Fort York,NO,NO,PASS,None
661,22 128941 STE 19 SA,Under Review ,320552.652999999991152,4836071.286000000312924,Beaches-East York,NO,NO,PASS,None
689,24 251716 STE 19 SA,Under Review ,319883.907999999995809,4838235.616000000387430,Beaches-East York,NO,NO,PASS,None
690,24 251716 STE 19 SA,Under Review ,319938.992000000027474,4838260.145999999716878,Beaches-East York,NO,NO,PASS,None
692,23 174316 WET 05 SA,Under Review ,305345.358999999996740,4838537.739000000059605,York South-Weston,NO,NO,PASS,None
699,24 224540 NNY 08 SA,Under Review ,308192.922000000020489,4842206.415000000037253,Eglinton-Lawrence,NO,NO,PASS,None
700,22 147264 WET 03 CD,Under Review ,305733.364999999990687,4832944.258000000379980,Etobicoke-Lakeshore,NO,NO,PASS,None
701,21 205323 NNY 08 SA,Under Review ,309338.614000000001397,4840624.800999999977648,Eglinton-Lawrence,NO,NO,PASS,None
710,21 178726 STE 11 SA,Under Review ,313087.397999999986496,4837000.553000000305474,University-Rosedale,NO,NO,PASS,None
721,21 247614 ESC 25 OZ,Under Review ,331838.382999999972526,4851761.646999999880791,Scarborough-Rouge Park,NO,NO,PASS,None
731,25 265324 NNY 17 OZ,Under Review ,314129.319000000017695,4847323.882000000216067,Don Valley North,NO,NO,PASS,None
735,25 251726 WET 05 PL,Under Review ,304550.871999999973923,4836035.428000000305474,York South-Weston,NO,NO,PASS,None
736,19 209047 ESC 22 OZ,Under Review ,320505.126999999978580,4853498.792000000365078,Scarborough-Agincourt,NO,NO,PASS,None
748,22 138558 STE 04 SA,Under Review ,307317.141999999992549,4832597.236999999731779,Parkdale-High Park,NO,NO,PASS,None
764,25 102468 STE 13 OZ,Under Review ,314474.744999999995343,4834763.167000000365078,Toronto Centre,NO,NO,PASS,None
785,13 173064 NNY 34 SA,Under Review ,317989.233999999996740,4843241.741999999620020,Don Valley East,NO,NO,PASS,None
815,14 131902 000 00 CD,Application Received,317218.101000000024214,4843433.633000000379980,Don Valley East,NO,NO,PASS,None
852,26 129467 STE 04 SA,Under Review ,306367.254000000015367,4835986.690999999642372,Parkdale-High Park,NO,NO,PASS,None
858,22 170531 NNY 08 OZ,Under Review ,312835.809000000008382,4840848.768000000156462,Eglinton-Lawrence,NO,NO,PASS,None
869,09 105794 WET 06 SA,Under Review ,306307.266000000003260,4831191.366999999620020,Etobicoke-Lakeshore,NO,YES,FAIL,Wetland
880,21 196867 STE 09 SB,Under Review ,307704.583999999973457,4836762.542000000365078,Davenport,NO,NO,PASS,None
892,22 184086 NNY 16 SA,Under Review ,317839.782999999995809,4841886.303000000305474,Don Valley East,NO,NO,PASS,None
898,22 145695 STE 14 OZ,Under Review ,319070.913000000000466,4836193.803999999538064,Toronto-Danforth,NO,NO,PASS,None
906,24 254930 ESC 20 OZ,Under Review ,321930.385999999998603,4838671.190999999642372,Scarborough Southwest,NO,NO,PASS,None
924,21 230437 ESC 24 CD,Under Review ,329304.251999999978580,4847173.218000000342727,Scarborough-Guildwood,NO,NO,PASS,None
925,21 232282 STE 10 CD,Under Review ,313827.635000000009313,4833924.353000000119209,Spadina-Fort York,NO,NO,PASS,None
926,21 232282 STE 10 CD,Under Review ,313713.038000000000466,4833906.411999999545515,Spadina-Fort York,NO,NO,PASS,None
931,22 119164 STE 10 SA,Under Review ,313890.794999999983702,4834050.158999999985099,Spadina-Fort York,NO,NO,PASS,None
947,26 207766 STE 11 OZ,Under Review ,311971.934999999997672,4835741.933000000193715,University-Rosedale,NO,NO,PASS,None
959,23 138692 ESC 21 SA,Under Review ,322552.909999999974389,4843131.225999999791384,Scarborough Centre,NO,NO,PASS,None
960,20 200970 NNY 17 SB,Under Review ,314129.319000000017695,4847323.882000000216067,Don Valley North,NO,NO,PASS,None
967,18 270588 NNY 16 SA,Under Review ,316640.815000000002328,4845911.803000000305474,Don Valley East,NO,NO,PASS,None
972,26 101832 STE 11 OZ,Under Review ,314086.069000000017695,4835017.611999999731779,University-Rosedale,NO,NO,PASS,None
978,21 203752 NNY 08 OZ,Under Review ,308249.359999999986030,4841618.746000000275671,Eglinton-Lawrence,NO,NO,PASS,None
979,21 203752 NNY 08 OZ,Under Review ,308289.750000000000000,4841628.673999999649823,Eglinton-Lawrence,NO,NO,PASS,None
981,22 192721 STE 13 SA,Under Review ,314951.416000000026543,4834491.758999999612570,Toronto Centre,NO,NO,PASS,None
